zoneid,areatype05,areatype10,areatype15,areatype20,areatype30,areatype35,areatype40,ciacre05,ciacre10,ciacre15,ciacre20,ciacre30,ciacre35,ciacre40,resacre05,resacre10,resacre15,resacre20,resacre30,resacre35,resacre40,sfdu05,sfdu10,sfdu15,sfdu20,sfdu30,sfdu35,sfdu40,mfdu05,mfdu10,mfdu15,mfdu20,mfdu30,mfdu35,mfdu40,terminal05,terminal10,terminal15,terminal20,terminal30,terminal35,terminal40,oprkcst05,oprkcst10,oprkcst15,oprkcst20,oprkcst30,oprkcst35,oprkcst40,prkcst05,prkcst10,prkcst15,prkcst20,prkcst30,prkcst35,prkcst40,FID
1,0,0,0,0,0,0,0,15,15,15,15,15,15,15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,42,60,60,60,60,60,60,5.63188,5.74509,5.89564,5.92915,5.94679,5.94505,5.92743,716,743.9325,932.83514,981.01697,1007.3786,1004.74927,978.49005,218,226.50458,284.01965,298.68951,306.71582,305.91528,297.92017,1
301,4,4,4,4,4,4,4,97,97,97,97,97,97,97,492,495,495,495,495,495.49405,497.15979,2053,2089,2089,2089,2089,2091,2094,244,250,250,250,250,250,250,1.12131,1.15181,1.16675,1.17333,1.18044,1.18266,1.18643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
251,2,2,2,2,2,2,2,44,44,44,44,44,44,44,152,152,152,152,154.26518,155.67003,156.47812,432,513,513,513,513,513,513,2366,2398,2398,2398,2638,2801,2849,2.21316,2.35307,2.59912,2.63219,2.61362,2.78967,2.79977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
201,3,3,3,3,3,3,3,59,59,59,59,59,59,59,66,67.68541,67.68541,77.60685,78.05772,78.19352,78.47271,787,910,910,909,909,912,912,1451,1589,1589,3013,3086,3086,3115,2.36899,2.32657,2.39272,2.84825,2.86751,2.85054,2.85008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
151,3,3,3,3,3,3,3,1,1,1,1,1,1,1,26,27,27,27,27,27.06715,27.06715,395,437,437,437,435,431,431,153,179,179,179,190,205,205,2.25776,2.16624,2.3122,2.30484,2.4045,2.45106,2.49939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
51,2,2,2,2,2,2,2,15,15,15,15,15,15,15,46,46,46,46,46,46,46,330,247,247,247,247,247,247,1856,2039,2039,2039,2039,2039,2039,2.46858,2.20088,2.26056,2.29208,2.3322,2.35556,2.38596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101,1,1,1,1,1,1,1,19,19,19,19,19,19,19,32,33,34.27186,34.27186,34.63465,35.22052,35.22052,191,231,231,231,231,231,228,2227,2491,2623,2623,2854,2992,3046,5.78447,4.89649,5.12947,5.33592,5.74627,5.84446,5.90986,68,68,68,68,68,68,68,0,0,0,0,0,0,0,7
351,4,4,4,4,4,4,4,85,85,85.29343,85.29343,85,85,85,258,258,258,258,259.41016,259.5737,259.77667,1244,1343,1341,1341,1341,1341,1339,824,872,893,893,1021,1035,1060,1.78338,1.69868,1.82424,1.83112,1.86923,1.87218,1.88142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2,0,0,0,0,0,0,0,24,24,24.79297,24.79297,24.41555,24.41555,24.41555,0,1,1,1,1.37743,1.37743,1.37743,5,5,5,5,5,5,5,138,147,147,147,251,251,251,5.61953,5.71993,5.84871,5.88547,5.90022,5.90018,5.90633,716,729.76294,885.61682,935.91913,956.90564,956.84143,965.73242,218,222.1904,269.6431,284.95862,291.34836,291.32883,294.03583,9
3,0,0,0,0,0,0,0,2,2,2.31799,2.31799,2.31799,2.31799,2.31799,1,1,1,1,1,1,1,9,9,9,9,9,9,9,253,285,285,285,285,285,285,5.59065,5.51065,5.53231,5.57011,5.63239,5.63868,5.64994,716.27252,716.27252,716.27252,716.27252,716.27252,716.27252,716.27252,218.08298,218.08298,218.08298,218.08298,218.08298,218.08298,218.08298,10
102,2,2,2,2,2,2,2,3,3,3,3,3,3,3,45,45.23017,45.30532,45.30532,45.30532,45.30532,45.50329,256,176,176,176,174,174,174,2540,2747,2768,2768,2886,2897,2981,3.59455,3.49018,3.72235,3.79327,4.02095,4.06538,4.14379,68,68,80.41871,82.46325,89.80846,91.77728,92.98886,0,0,0,0,0,0,0,11
4,0,0,0,0,0,0,0,18,18,18,18,18,18,18,0,1,1,1,1,1,1,2,6,6,6,6,6,6,74,210,210,210,210,293,293,5.63479,5.49568,5.6433,5.65572,5.68136,5.67793,5.66215,314,314,314,314,314,314,314,191,191,191,191,191,191,191,12
103,2,2,2,2,2,2,2,8,8,8,8,8,8,8,67,67,67,67,67.34779,67.6391,67.6391,670,543,543,543,538,538,538,2083,2158,2158,2158,2246,2282,2282,2.66525,2.51117,2.58283,2.66834,2.75349,2.76904,2.78561,61,61,61,61,61,61,61,0,0,0,0,0,0,0,13
5,0,0,0,0,0,0,0,15,15,15,15,15,15,15,1,1,1,1,1.0901,1.0901,1.0901,17,22,22,22,22,22,22,490,671,671,671,695,695,695,5.66286,5.42097,5.52555,5.55468,5.5911,5.59317,5.58507,314.01431,314.01431,314.01431,314.01431,314.01431,314.01431,314.01431,191.0087,191.0087,191.0087,191.0087,191.0087,191.0087,191.0087,14
104,2,2,2,2,2,2,2,13,13,13,13,13,13,13,24,24.79696,24.79696,24.79696,25.49574,25.72086,25.93176,120,60,60,60,60,60,60,1596,1911,1911,1911,2038,2086,2133,4.05622,3.96895,4.3233,4.32307,4.51358,4.54622,4.56725,61,61,63.36967,62.26128,65.20426,65.35714,64.86028,0,0,0,0,0,0,0,15
