InputID,TargetID,Distance
"566",FRMT,31555.712804229
"565",FRMT,32906.2511244217
"573",FRMT,32448.1126994136
"571",FRMT,33843.624059576
"576",FRMT,30063.5341113993
"575",FRMT,30922.7987156846
"567",FRMT,30819.1628614279
"570",FRMT,33343.6324075825
"583",FRMT,29963.390155016
"584",FRMT,28515.155224035
"642",FRMT,29853.6877040225
"650",FRMT,30719.2186263832
"651",FRMT,31844.6365266644
"653",FRMT,34437.0574363737
"644",FRMT,29085.2855983591
"643",FRMT,28687.2536940674
"646",FRMT,30384.3249601413
"649",FRMT,31037.3700388139
"487",FRMT,25788.1289179612
"491",FRMT,27787.9282254897
"480",FRMT,28450.9881925763
"482",FRMT,28624.0237253675
"485",FRMT,25568.0772255181
"459",FRMT,23725.8458573059
"454",FRMT,24675.1887182788
"598",FRMT,22551.3051768106
"625",FRMT,20742.3902150014
"622",FRMT,18516.1853584302
"610",FRMT,14770.6807664461
"609",FRMT,14774.6951707685
"620",FRMT,17569.5060455211
"471",FRMT,26412.1927278707
"470",FRMT,27632.7410070683
"473",FRMT,28083.7474463642
"468",FRMT,28525.9112272499
"504",FRMT,31054.1120520743
"503",FRMT,30225.2180089867
"501",FRMT,30556.9245664763
"499",FRMT,30726.6708056855
"500",FRMT,31834.3739529476
"505",FRMT,31443.7514123872
"518",FRMT,35023.5376359338
"517",FRMT,34642.5921572591
"516",FRMT,35451.0641389955
"514",FRMT,36804.7859647169
"511",FRMT,37343.8964107105
"513",FRMT,38705.9621163848
"508",FRMT,33995.5418440103
"510",FRMT,34849.0939745354
"497",FRMT,33240.5477105594
"496",FRMT,35727.6278577014
"498",FRMT,30652.6043863164
"495",FRMT,32483.6452575198
"490",FRMT,27106.4745581869
"489",FRMT,29632.5630629364
"488",FRMT,28479.5981532288
"486",FRMT,26024.1772969787
"492",FRMT,28841.5976936403
"481",FRMT,28447.2169286487
"483",FRMT,28657.3031436531
"484",FRMT,27052.9585805839
"479",FRMT,26842.5850433887
"460",FRMT,25329.9434430156
"457",FRMT,23999.8939870064
"458",FRMT,23920.9256387273
"455",FRMT,24394.032210031
"451",FRMT,22174.5867415317
"448",FRMT,21998.349747484
"394",FRMT,20944.2741460339
"450",FRMT,21020.8217330523
"425",FRMT,19595.6775856196
"391",FRMT,21247.8264995555
"618",FRMT,17802.0127149002
"617",FRMT,16299.3552024192
"615",FRMT,14350.0734652367
"613",FRMT,12564.0453937767
"606",FRMT,17699.2222564936
"611",FRMT,14621.6865194062
"401",FRMT,16582.7674738366
"422",FRMT,17774.7023657957
"420",FRMT,18068.4637663187
"413",FRMT,18037.7464877446
"543",FRMT,23660.0983887798
"438",FRMT,21877.8414094895
"442",FRMT,21991.1022074735
"441",FRMT,23177.1684723427
"440",FRMT,23961.6765605541
"545",FRMT,23080.5983202871
"544",FRMT,23964.2646090675
"465",FRMT,25267.5074242852
"464",FRMT,24401.6266715253
"463",FRMT,25087.4654010623
"476",FRMT,28480.3960034702
"478",FRMT,26271.7037550053
"472",FRMT,27214.7391039772
"467",FRMT,26895.7466347418
"469",FRMT,28850.776465672
"475",FRMT,29383.039852588
"474",FRMT,28877.3852942541
"502",FRMT,29670.0266578035
"506",FRMT,32504.195285345
"515",FRMT,35340.7956182578
"509",FRMT,35673.1198929992
"507",FRMT,33298.5367603286
"493",FRMT,30124.8307593761
"494",FRMT,31709.2464925488
"424",FRMT,18761.7290184508
"393",FRMT,20912.8248723159
"377",FRMT,19389.6026272891
"376",FRMT,19317.3119953239
"374",FRMT,18742.5079963959
"380",FRMT,20643.1622022457
"372",FRMT,20699.247658314
"378",FRMT,20651.3958566795
"381",FRMT,21836.4738726517
"383",FRMT,23014.1261231654
"389",FRMT,22452.8435473349
"388",FRMT,23915.5845384056
"384",FRMT,23390.6013676892
"370",FRMT,23270.5161277418
"371",FRMT,21786.5643154068
"367",FRMT,21384.5792120579
"366",UCTY,21621.6798422589
"363",FRMT,19719.0607714003
"360",UCTY,20675.3049911792
"358",UCTY,19069.6313199804
"357",UCTY,19294.8261324243
"359",UCTY,20530.9762280774
"355",UCTY,22521.5590188441
"354",UCTY,22070.2875848838
"352",UCTY,22531.3029670754
"368",FRMT,24157.743271828
"512",FRMT,44365.3218803854
"688",FRMT,36066.3579729806
"693",FRMT,39004.4019948558
"695",FRMT,41811.6814951702
"696",FRMT,42424.2032349949
"694",FRMT,40991.0342813812
"690",FRMT,37312.4832496225
"656",FRMT,38057.9840871283
"657",FRMT,39535.0133799682
"392",FRMT,20991.7779549515
"373",FRMT,19769.6785118038
"375",FRMT,19662.5495651845
"365",FRMT,20679.4760663132
"379",FRMT,20682.2761405901
"390",FRMT,20927.8532954978
"382",FRMT,21941.9772341495
"387",FRMT,24902.7633263731
"386",FRMT,25741.092222709
"369",FRMT,22260.0163803032
"362",FRMT,18667.7243896404
"364",FRMT,19807.2097799848
"361",UCTY,19381.6129514516
"356",UCTY,20374.5308341998
"353",UCTY,21982.9521667272
"385",FRMT,25051.7958860284
"692",FRMT,39484.5918027263
"691",FRMT,39344.2119382489
"689",FRMT,37330.3380460624
"680",FRMT,33352.2046608404
"675",FRMT,36951.0322488685
"669",FRMT,35892.0426802316
"668",FRMT,35277.2153387055
"667",FRMT,36145.2033918771
"673",FRMT,35255.2570601742
"665",FRMT,37209.4940717421
"659",FRMT,40709.0867509045
"700",FRMT,55142.1833479742
"701",FRMT,59025.0577022292
"456",FRMT,24210.4530255873
"453",FRMT,22756.7643150403
"452",FRMT,23137.9241698282
"449",FRMT,22650.1456398296
"447",FRMT,22254.9931451914
"445",FRMT,22040.473368152
"446",FRMT,21058.650287231
"423",FRMT,18660.603959519
"710",FRMT,68233.7787182423
"660",FRMT,39907.4405973473
"661",FRMT,38791.2417487563
"658",FRMT,41609.2383638467
"697",FRMT,47466.8136870265
"703",FRMT,55003.9683879196
"702",FRMT,55782.9726277814
"704",FRMT,61160.9636615309
"698",FRMT,54653.622533788
"1260",PITT,27155.9961344506
"1251",PITT,15752.5784797763
"1261",PITT,26478.8486942018
"1254",PITT,25831.2879415564
"1252",PITT,27233.5820378614
"1271",PITT,33742.6536366233
"1276",PITT,35928.7195029757
"1272",PITT,34050.6706333815
"1281",PITT,37245.3715199274
"1275",PITT,35885.1635392239
"1285",PITT,39428.7265803697
"1288",PITT,47915.4738309919
"1290",PITT,25325.8462615114
"1324",RICH,31738.8309378318
"1322",RICH,42993.3202849958
"1321",RICH,42772.7857929824
"1318",RICH,52170.2050504367
"1325",RICH,35575.3504378518
"713",FRMT,62544.7468280439
"711",FRMT,66386.0993321966
"709",FRMT,68832.2878383271
"705",FRMT,72995.5694770016
"707",FRMT,70635.6396914538
"706",FRMT,73142.6965903407
"1246",NCON,20587.6784229136
"1231",DELN,21511.874583909
"1227",DELN,20493.4810921444
"1219",NCON,18360.4825508878
"1221",DELN,19200.741111774
"1220",DELN,18980.2060756925
"1222",DELN,18182.3824952326
"1238",RICH,21266.0820203595
"1232",DELN,21155.8462025768
"1242",DELN,23056.561970198
"1234",DELN,21459.1036812195
"699",FRMT,57531.2954290433
"712",FRMT,63987.8013241117
"708",FRMT,70732.501431967
"714",FRMT,53939.6090938557
"1230",DELN,22840.2268699096
"1229",DELN,21952.3309732975
"1228",DELN,20711.5011777245
"1223",DELN,19377.5034676567
"1224",DELN,20206.4732551364
"1225",DELN,20390.1120848462
"1226",DELN,20306.2522506679
"1233",DELN,22144.9766996521
"1235",DELN,20908.3153164197
"1237",DELN,22223.3074670293
"1239",RICH,24548.944784016
"1244",DELN,25508.3056633375
"1245",DELN,26000.0652418616
"1216",NCON,16122.5504221065
"1214",NCON,13501.6346926134
"1267",NCON,29312.6434455832
"1269",PITT,31894.0814447796
"1266",NCON,27924.6582309224
"1263",NCON,27915.4952381132
"1265",NCON,29059.027164637
"674",FRMT,37412.2310159262
"676",FRMT,36120.099128014
"670",FRMT,34560.9919298804
"672",FRMT,33823.413866711
"671",FRMT,33997.3854182869
"666",FRMT,36603.191440406
"679",FRMT,34323.1028873762
"678",FRMT,34739.3355658022
"677",FRMT,35342.7033749253
"664",FRMT,37841.1337605867
"663",FRMT,38492.3146886342
"662",FRMT,39080.2441185125
"1334",RICH,40716.6936589334
"1335",RICH,42216.0117391106
"1336",RICH,45166.9793002564
"1339",RICH,52147.2894672046
"1338",RICH,52504.438456348
"1343",RICH,53575.83994289
"1345",RICH,54431.8540330596
"1342",RICH,53187.8857903672
"1340",RICH,51672.1738294845
"1351",RICH,61870.6272131212
"1353",RICH,59863.5529818717
"1359",RICH,63483.8851359124
"1366",RICH,68358.6368232904
"1355",RICH,65977.6842028375
"1354",RICH,69648.9309603997
"1367",RICH,74186.8160035799
